Time,Error,EgoSpeed,Torque,ACCTargetSpeed,LeadSpeed,DriverSetSpeed,Gap(m),TrueTimeGap,TargetTimeGap,SafeDistance
0,45.0469,14.9536,10,60.0005,10.0001,60.0005,1000,238.338,2,18.3075
0.1,45.0852,14.9153,20,60.0005,10.0181,60.0005,999.864,238.917,2,18.2863
0.2,45.1152,14.8853,30,60.0005,10.0361,60.0005,999.729,239.365,2,18.2696
0.3,45.1369,14.8636,40,60.0005,10.0541,60.0005,999.596,239.682,2,18.2576
0.4,45.1503,14.8502,50,60.0005,10.0721,60.0005,999.463,239.867,2,18.2501
0.5,45.1554,14.845,60,60.0005,10.09,60.0005,999.331,239.918,2,18.2472
0.6,45.1523,14.8482,70,60.0005,10.108,60.0005,999.199,239.835,2,18.249
0.7,45.1409,14.8596,80,60.0005,10.126,60.0005,999.068,239.619,2,18.2553
0.8,45.1212,14.8793,90,60.0005,10.1439,60.0005,998.936,239.27,2,18.2663
0.9,45.0932,14.9072,100,60.0005,10.1619,60.0005,998.804,238.79,2,18.2818
1,45.057,14.9435,110,60.0005,10.1798,60.0005,998.672,238.179,2,18.3019
1.1,45.0125,14.988,120,60.0005,10.1977,60.0005,998.539,237.44,2,18.3266
1.2,44.9598,15.0407,130,60.0005,10.2156,60.0005,998.405,236.575,2,18.356
1.3,44.8988,15.1017,140,60.0005,10.2334,60.0005,998.27,235.587,2,18.3898
1.4,44.8295,15.171,150,60.0005,10.2513,60.0005,998.133,234.479,2,18.4283
1.5,44.7519,15.2485,160,60.0005,10.2691,60.0005,997.995,233.254,2,18.4714
1.6,44.6661,15.3343,170,60.0005,10.2869,60.0005,997.855,231.916,2,18.5191
1.7,44.5721,15.4284,180,60.0005,10.3046,60.0005,997.712,230.469,2,18.5713
1.8,44.4698,15.5307,190,60.0005,10.3223,60.0005,997.568,228.917,2,18.6282
1.9,44.3592,15.6412,200,60.0005,10.34,60.0005,997.42,227.265,2,18.6896
2,44.2404,15.76,210,60.0005,10.3577,60.0005,997.27,225.518,2,18.7556
2.1,44.1134,15.8871,220,60.0005,10.3753,60.0005,997.117,223.68,2,18.8262
2.2,43.9781,16.0224,230,60.0005,10.3929,60.0005,996.961,221.756,2,18.9013
2.3,43.8346,16.1659,240,60.0005,10.4104,60.0005,996.801,219.752,2,18.9811
2.4,43.6828,16.3177,250,60.0005,10.4279,60.0005,996.637,217.672,2,19.0654
2.5,43.5228,16.4777,260,60.0005,10.4454,60.0005,996.47,215.522,2,19.1543
2.6,43.3546,16.6459,270,60.0005,10.4628,60.0005,996.298,213.306,2,19.2477
2.7,43.1781,16.8224,280,60.0005,10.4802,60.0005,996.122,211.031,2,19.3458
2.8,42.9934,17.007,290,60.0005,10.4975,60.0005,995.941,208.701,2,19.4484
2.9,42.8005,17.2,300,60.0005,10.5148,60.0005,995.755,206.321,2,19.5555
3,42.5994,17.4011,310,60.0005,10.532,60.0005,995.564,203.897,2,19.6673
3.1,42.39,17.6104,320,60.0005,10.5492,60.0005,995.368,201.433,2,19.7836
3.2,42.1725,17.828,330,60.0005,10.5663,60.0005,995.167,198.934,2,19.9044
3.3,41.9467,18.0538,340,60.0005,10.5834,60.0005,994.959,196.405,2,20.0299
3.4,41.7127,18.2878,350,60.0005,10.6004,60.0005,994.746,193.85,2,20.1599
3.5,41.4705,18.53,360,60.0005,10.6173,60.0005,994.526,191.274,2,20.2944
3.6,41.2201,18.7804,370,60.0005,10.6342,60.0005,994.299,188.68,2,20.4335
3.7,40.9698,19.0307,370,60.0005,10.651,60.0005,994.067,186.154,2,20.5726
3.8,40.7196,19.2809,370,60.0005,10.6677,60.0005,993.827,183.693,2,20.7116
3.9,40.4694,19.5311,370,60.0005,10.6844,60.0005,993.582,181.295,2,20.8506
4,40.2193,19.7812,370,60.0005,10.701,60.0005,993.329,178.957,2,20.9895
4.1,39.9693,20.0312,370,60.0005,10.7176,60.0005,993.071,176.677,2,21.1284
4.2,39.7194,20.2811,370,60.0005,10.734,60.0005,992.806,174.453,2,21.2673
4.3,39.4696,20.5309,370,60.0005,10.7504,60.0005,992.534,172.283,2,21.4061
4.4,39.2198,20.7807,370,60.0005,10.7668,60.0005,992.256,170.164,2,21.5448
4.5,38.9701,21.0303,370,60.0005,10.783,60.0005,991.971,168.095,2,21.6835
4.6,38.7206,21.2799,370,60.0005,10.7992,60.0005,991.68,166.074,2,21.8222
4.7,38.4711,21.5294,370,60.0005,10.8153,60.0005,991.382,164.1,2,21.9608
4.8,38.2217,21.7788,370,60.0005,10.8313,60.0005,991.078,162.17,2,22.0993
4.9,37.9723,22.0281,370,60.0005,10.8472,60.0005,990.768,160.284,2,22.2379
5,37.7231,22.2774,370,60.0005,10.863,60.0005,990.451,158.44,2,22.3763
