Time,Error,EgoSpeed,Torque,ACCTargetSpeed,LeadSpeed,DriverSetSpeed,Gap(m),TrueTimeGap,TargetTimeGap,SafeDistance
0,10.0481,19.9522,10,30.0002,28.5002,30.0002,40,5.41295,2,24.0294
0.1,10.0878,19.9124,20,30.0002,28.5506,30.0002,40.2399,5.46712,2,23.9621
0.2,10.1192,19.881,30,30.0002,28.601,30.0002,40.4822,5.51963,2,23.9066
0.3,10.1424,19.8579,40,30.0002,28.6514,30.0002,40.7264,5.57034,2,23.8628
0.4,10.1572,19.843,50,30.0002,28.7017,30.0002,40.9725,5.61915,2,23.8305
0.5,10.1638,19.8365,60,30.0002,28.752,30.0002,41.2202,5.66596,2,23.8098
0.6,10.1621,19.8382,70,30.0002,28.8023,30.0002,41.4692,5.71066,2,23.8007
0.7,10.1521,19.8482,80,30.0002,28.8525,30.0002,41.7193,5.75315,2,23.8031
0.8,10.1338,19.8664,90,30.0002,28.9026,30.0002,41.9703,5.79335,2,23.817
0.9,10.1073,19.8929,100,30.0002,28.9526,30.0002,42.2219,5.83117,2,23.8424
1,10.0725,19.9277,110,30.0002,29.0026,30.0002,42.474,5.86653,2,23.8794
1.1,10.0295,19.9708,120,30.0002,29.0524,30.0002,42.7263,5.89935,2,23.928
1.2,9.97814,20.0221,130,30.0002,29.1022,30.0002,42.9785,5.92958,2,23.9882
1.3,9.91856,20.0817,140,30.0002,29.1518,30.0002,43.2305,5.95716,2,24.0602
1.4,9.85073,20.1495,150,30.0002,29.2013,30.0002,43.4819,5.98203,2,24.144
1.5,9.77465,20.2256,160,30.0002,29.2507,30.0002,43.7326,6.00414,2,24.2397
1.6,9.69031,20.3099,170,30.0002,29.2999,30.0002,43.9823,6.02348,2,24.3475
1.7,9.59773,20.4025,180,30.0002,29.349,30.0002,44.2308,6.03999,2,24.4674
1.8,9.4969,20.5033,190,30.0002,29.3979,30.0002,44.4779,6.05367,2,24.5996
1.9,9.38783,20.6124,200,30.0002,29.4466,30.0002,44.7233,6.0645,2,24.7442
2,9.27052,20.7297,210,30.0002,29.4951,30.0002,44.9668,6.07246,2,24.9015
2.1,9.14497,20.8553,220,30.0002,29.5434,30.0002,45.2081,6.07756,2,25.0716
2.2,9.01119,20.989,230,30.0002,29.5916,30.0002,45.4471,6.07981,2,25.2547
2.3,8.86919,21.1311,240,30.0002,29.6395,30.0002,45.6834,6.07922,2,25.451
2.4,8.71895,21.2813,250,30.0002,29.6872,30.0002,45.9169,6.0758,2,25.6608
2.5,8.56049,21.4397,260,30.0002,29.7347,30.0002,46.1473,6.06959,2,25.8843
2.6,8.39382,21.6064,270,30.0002,29.7819,30.0002,46.3744,6.0606,2,26.1217
2.7,8.21892,21.7813,280,30.0002,29.8289,30.0002,46.598,6.04889,2,26.3734
2.8,8.03582,21.9644,290,30.0002,29.8756,30.0002,46.8177,6.03448,2,26.6395
2.9,7.8445,22.1557,300,30.0002,29.922,30.0002,47.0335,6.01742,2,26.9205
3,7.6512,22.349,302.475,30.0002,29.9682,30.0002,47.2451,5.99947,2,27.2165
3.1,7.46243,22.5378,297.094,30.0002,30.014,30.0002,47.4528,5.98239,2,27.5182
3.2,7.27808,22.7222,291.838,30.0002,30.0596,30.0002,47.6566,5.96615,2,27.8154
3.3,7.09805,22.9022,286.704,30.0002,30.1049,30.0002,47.8567,5.9507,2,28.108
3.4,6.92223,23.078,281.689,30.0002,30.1498,30.0002,48.0531,5.93601,2,28.3961
3.5,6.75054,23.2497,276.79,30.0002,30.1945,30.0002,48.246,5.92204,2,28.6797
3.6,6.58287,23.4174,272.004,30.0002,30.2388,30.0002,48.4355,5.90877,2,28.9586
3.7,6.41914,23.5811,267.33,30.0002,30.2827,30.0002,48.6217,5.89616,2,29.2331
3.8,6.25925,23.741,262.763,30.0002,30.3264,30.0002,48.8046,5.88419,2,29.503
3.9,6.10311,23.8971,258.303,30.0002,30.3696,30.0002,48.9844,5.87283,2,29.7683
4,5.95064,24.0496,253.946,30.0002,30.4125,30.0002,49.1611,5.86205,2,30.0292
4.1,5.80175,24.1985,249.69,30.0002,30.455,30.0002,49.3349,5.85184,2,30.2856
4.2,5.65636,24.3439,245.533,30.0002,30.4971,30.0002,49.5058,5.84217,2,30.5376
4.3,5.51439,24.4859,241.472,30.0002,30.5389,30.0002,49.674,5.83302,2,30.7851
4.4,5.37576,24.6245,237.506,30.0002,30.5802,30.0002,49.8394,5.82436,2,31.0282
4.5,5.24039,24.7598,233.632,30.0002,30.6211,30.0002,50.0022,5.81619,2,31.267
4.6,5.10821,24.892,229.847,30.0002,30.6617,30.0002,50.1625,5.80849,2,31.5015
4.7,4.97915,25.0211,226.151,30.0002,30.7018,30.0002,50.3203,5.80123,2,31.7317
4.8,4.85312,25.1471,222.54,30.0002,30.7414,30.0002,50.4757,5.7944,2,31.9576
4.9,4.73007,25.2702,219.013,30.0002,30.7806,30.0002,50.6288,5.78799,2,32.1794
5,4.60991,25.3903,215.568,30.0002,30.8194,30.0002,50.7796,5.78198,2,32.3969
5.1,4.4926,25.5076,212.203,30.0002,30.8577,30.0002,50.9282,5.77637,2,32.6104
5.2,4.37805,25.6222,208.917,30.0002,30.8956,30.0002,51.0747,5.77112,2,32.8199
5.3,4.2662,25.734,205.707,30.0002,30.933,30.0002,51.2191,5.76624,2,33.0253
5.4,4.157,25.8432,202.571,30.0002,30.9699,30.0002,51.3615,5.76172,2,33.2267
5.5,4.05038,25.9499,199.508,30.0002,31.0063,30.0002,51.5019,5.75753,2,33.4243
5.6,3.94629,26.054,196.517,30.0002,31.0423,30.0002,51.6405,5.75367,2,33.6179
5.7,3.84465,26.1556,193.595,30.0002,31.0777,30.0002,51.7772,5.75013,2,33.8078
5.8,3.74542,26.2548,190.741,30.0002,31.1126,30.0002,51.9122,5.7469,2,33.9939
5.9,3.64854,26.3517,187.954,30.0002,31.147,30.0002,52.0454,5.74397,2,34.1763
6,3.55396,26.4463,185.231,30.0002,31.1809,30.0002,52.1769,5.74133,2,34.3551
6.1,3.46161,26.5386,182.572,30.0002,31.2143,30.0002,52.3068,5.73897,2,34.5302
6.2,3.37146,26.6288,179.975,30.0002,31.2472,30.0002,52.4351,5.73689,2,34.7018
6.3,3.28345,26.7168,177.438,30.0002,31.2795,30.0002,52.5618,5.73506,2,34.8699
6.4,3.19752,26.8027,174.96,30.0002,31.3112,30.0002,52.687,5.7335,2,35.0346
6.5,3.11364,26.8866,172.54,30.0002,31.3424,30.0002,52.8108,5.73218,2,35.1959
6.6,3.03175,26.9685,170.176,30.0002,31.3731,30.0002,52.9332,5.73111,2,35.3539
6.7,2.95181,27.0484,167.868,30.0002,31.4032,30.0002,53.0541,5.73027,2,35.5085
6.8,2.87377,27.1265,165.613,30.0002,31.4327,30.0002,53.1738,5.72966,2,35.66
6.9,2.79758,27.2027,163.411,30.0002,31.4617,30.0002,53.2921,5.72927,2,35.8083
7,2.72321,27.277,161.26,30.0002,31.49,30.0002,53.4091,5.7291,2,35.9534
7.1,2.65061,27.3496,159.159,30.0002,31.5178,30.0002,53.5249,5.72913,2,36.0955
7.2,2.57975,27.4205,157.107,30.0002,31.545,30.0002,53.6394,5.72936,2,36.2346
7.3,2.51057,27.4897,155.103,30.0002,31.5716,30.0002,53.7528,5.72979,2,36.3708
7.4,2.44305,27.5572,153.146,30.0002,31.5976,30.0002,53.8651,5.73042,2,36.504
7.5,2.37713,27.6231,151.235,30.0002,31.623,30.0002,53.9762,5.73122,2,36.6344
7.6,2.3128,27.6874,149.368,30.0002,31.6477,30.0002,54.0862,5.73221,2,36.7619
7.7,2.25,27.7502,147.544,30.0002,31.6719,30.0002,54.1951,5.73337,2,36.8867
