Time,Error,EgoSpeed,Torque,ACCTargetSpeed,LeadSpeed,DriverSetSpeed,Gap(m),TrueTimeGap,TargetTimeGap,SafeDistance
0,45.0469,14.9536,10,60.0005,30.0002,60.0005,1000,238.338,2,18.3075
0.1,45.0852,14.9153,20,60.0005,30.0074,60.0005,1000.42,239.051,2,18.2863
0.2,45.1152,14.8853,30,60.0005,30.0146,60.0005,1000.84,239.634,2,18.2696
0.3,45.1369,14.8636,40,60.0005,30.0218,60.0005,1001.26,240.086,2,18.2576
0.4,45.1503,14.8502,50,60.0005,30.029,60.0005,1001.68,240.405,2,18.2501
0.5,45.1554,14.845,60,60.0005,30.0362,60.0005,1002.1,240.59,2,18.2472
0.6,45.1523,14.8482,70,60.0005,30.0434,60.0005,1002.53,240.642,2,18.249
0.7,45.1409,14.8596,80,60.0005,30.0506,60.0005,1002.95,240.559,2,18.2553
0.8,45.1212,14.8793,90,60.0005,30.0578,60.0005,1003.37,240.343,2,18.2663
0.9,45.0932,14.9072,100,60.0005,30.065,60.0005,1003.79,239.994,2,18.2818
1,45.057,14.9435,110,60.0005,30.0722,60.0005,1004.21,239.513,2,18.3019
1.1,45.0125,14.988,120,60.0005,30.0794,60.0005,1004.63,238.903,2,18.3266
1.2,44.9598,15.0407,130,60.0005,30.0866,60.0005,1005.05,238.165,2,18.356
1.3,44.8988,15.1017,140,60.0005,30.0938,60.0005,1005.46,237.302,2,18.3898
1.4,44.8295,15.171,150,60.0005,30.101,60.0005,1005.88,236.317,2,18.4283
1.5,44.7519,15.2485,160,60.0005,30.1082,60.0005,1006.29,235.213,2,18.4714
1.6,44.6661,15.3343,170,60.0005,30.1154,60.0005,1006.7,233.993,2,18.5191
1.7,44.5721,15.4284,180,60.0005,30.1225,60.0005,1007.11,232.662,2,18.5713
1.8,44.4698,15.5307,190,60.0005,30.1297,60.0005,1007.52,231.223,2,18.6282
1.9,44.3592,15.6412,200,60.0005,30.1369,60.0005,1007.92,229.682,2,18.6896
2,44.2404,15.76,210,60.0005,30.1441,60.0005,1008.32,228.042,2,18.7556
2.1,44.1134,15.8871,220,60.0005,30.1513,60.0005,1008.71,226.308,2,18.8262
2.2,43.9781,16.0224,230,60.0005,30.1584,60.0005,1009.11,224.485,2,18.9013
2.3,43.8346,16.1659,240,60.0005,30.1656,60.0005,1009.5,222.579,2,18.9811
2.4,43.6828,16.3177,250,60.0005,30.1728,60.0005,1009.88,220.594,2,19.0654
2.5,43.5228,16.4777,260,60.0005,30.1799,60.0005,1010.26,218.535,2,19.1543
2.6,43.3546,16.6459,270,60.0005,30.1871,60.0005,1010.64,216.408,2,19.2477
