Time,Error,EgoSpeed,Torque,ACCTargetSpeed,LeadSpeed,DriverSetSpeed,Gap(m),TrueTimeGap,TargetTimeGap,SafeDistance
0,45.0469,14.9536,10,60.0005,30.0002,60.0005,100,21.6671,2,18.3075
0.1,45.0852,14.9153,20,60.0005,30.0074,60.0005,100.419,21.8239,2,18.2863
0.2,45.1152,14.8853,30,60.0005,30.0146,60.0005,100.839,21.9695,2,18.2696
0.3,45.1369,14.8636,40,60.0005,30.0218,60.0005,101.261,22.1035,2,18.2576
0.4,45.1503,14.8502,50,60.0005,30.029,60.0005,101.682,22.2257,2,18.2501
0.5,45.1554,14.845,60,60.0005,30.0362,60.0005,102.104,22.3357,2,18.2472
0.6,45.1523,14.8482,70,60.0005,30.0434,60.0005,102.526,22.4333,2,18.249
0.7,45.1409,14.8596,80,60.0005,30.0506,60.0005,102.948,22.5183,2,18.2553
0.8,45.1212,14.8793,90,60.0005,30.0578,60.0005,103.37,22.5906,2,18.2663
0.9,45.0932,14.9072,100,60.0005,30.065,60.0005,103.791,22.6499,2,18.2818
1,45.057,14.9435,110,60.0005,30.0722,60.0005,104.211,22.6962,2,18.3019
1.1,45.0125,14.988,120,60.0005,30.0794,60.0005,104.63,22.7295,2,18.3266
1.2,44.9598,15.0407,130,60.0005,30.0866,60.0005,105.048,22.7498,2,18.356
1.3,44.8988,15.1017,140,60.0005,30.0938,60.0005,105.465,22.7572,2,18.3898
1.4,44.8295,15.171,150,60.0005,30.101,60.0005,105.879,22.7517,2,18.4283
1.5,44.7519,15.2485,160,60.0005,30.1082,60.0005,106.292,22.7334,2,18.4714
1.6,44.6661,15.3343,170,60.0005,30.1154,60.0005,106.703,22.7026,2,18.5191
1.7,44.5721,15.4284,180,60.0005,30.1225,60.0005,107.111,22.6595,2,18.5713
1.8,44.4698,15.5307,190,60.0005,30.1297,60.0005,107.517,22.6042,2,18.6282
1.9,44.3592,15.6412,200,60.0005,30.1369,60.0005,107.919,22.5371,2,18.6896
2,44.2404,15.76,210,60.0005,30.1441,60.0005,108.319,22.4585,2,18.7556
2.1,44.1134,15.8871,220,60.0005,30.1513,60.0005,108.715,22.3687,2,18.8262
2.2,43.9781,16.0224,230,60.0005,30.1584,60.0005,109.108,22.2681,2,18.9013
2.3,43.8346,16.1659,240,60.0005,30.1656,60.0005,109.497,22.157,2,18.9811
2.4,43.6828,16.3177,250,60.0005,30.1728,60.0005,109.881,22.0358,2,19.0654
2.5,43.5228,16.4777,260,60.0005,30.1799,60.0005,110.262,21.905,2,19.1543
2.6,43.3546,16.6459,270,60.0005,30.1871,60.0005,110.638,21.765,2,19.2477
2.7,43.1781,16.8224,280,60.0005,30.1943,60.0005,111.01,21.6161,2,19.3458
2.8,42.9934,17.007,290,60.0005,30.2014,60.0005,111.376,21.459,2,19.4484
2.9,42.8005,17.2,300,60.0005,30.2086,60.0005,111.737,21.2939,2,19.5555
3,42.5994,17.4011,310,60.0005,30.2157,60.0005,112.093,21.1215,2,19.6673
3.1,42.39,17.6104,320,60.0005,30.2229,60.0005,112.444,20.942,2,19.7836
3.2,42.1725,17.828,330,60.0005,30.23,60.0005,112.788,20.756,2,19.9044
3.3,41.9467,18.0538,340,60.0005,30.2372,60.0005,113.127,20.5639,2,20.0299
3.4,41.7127,18.2878,350,60.0005,30.2443,60.0005,113.459,20.3662,2,20.1599
3.5,41.4705,18.53,360,60.0005,30.2514,60.0005,113.784,20.1632,2,20.2944
3.6,41.2201,18.7804,370,60.0005,30.2585,60.0005,114.103,19.9555,2,20.4335
3.7,40.9698,19.0307,370,60.0005,30.2657,60.0005,114.415,19.7521,2,20.5726
3.8,40.7196,19.2809,370,60.0005,30.2728,60.0005,114.721,19.5527,2,20.7116
3.9,40.4694,19.5311,370,60.0005,30.2799,60.0005,115.019,19.3573,2,20.8506
4,40.2193,19.7812,370,60.0005,30.287,60.0005,115.311,19.1657,2,20.9895
4.1,39.9693,20.0312,370,60.0005,30.2941,60.0005,115.596,18.9777,2,21.1284
4.2,39.7194,20.2811,370,60.0005,30.3012,60.0005,115.874,18.7933,2,21.2673
4.3,39.4696,20.5309,370,60.0005,30.3083,60.0005,116.146,18.6122,2,21.4061
4.4,39.2198,20.7807,370,60.0005,30.3154,60.0005,116.411,18.4344,2,21.5448
4.5,38.9701,21.0303,370,60.0005,30.3225,60.0005,116.669,18.2597,2,21.6835
4.6,38.7206,21.2799,370,60.0005,30.3296,60.0005,116.92,18.0881,2,21.8222
4.7,38.4711,21.5294,370,60.0005,30.3367,60.0005,117.165,17.9194,2,21.9608
4.8,38.2217,21.7788,370,60.0005,30.3437,60.0005,117.403,17.7535,2,22.0993
4.9,37.9723,22.0281,370,60.0005,30.3508,60.0005,117.634,17.5904,2,22.2379
5,37.7231,22.2774,370,60.0005,30.3578,60.0005,117.859,17.4298,2,22.3763
5.1,37.474,22.5265,370,60.0005,30.3649,60.0005,118.076,17.2719,2,22.5147
5.2,37.2249,22.7755,370,60.0005,30.3719,60.0005,118.287,17.1164,2,22.6531
5.3,36.976,23.0245,370,60.0005,30.379,60.0005,118.492,16.9632,2,22.7914
5.4,36.7271,23.2733,370,60.0005,30.386,60.0005,118.689,16.8124,2,22.9296
5.5,36.4784,23.5221,370,60.0005,30.3931,60.0005,118.88,16.6638,2,23.0678
5.6,36.2297,23.7708,370,60.0005,30.4001,60.0005,119.064,16.5174,2,23.206
5.7,35.9812,24.0193,370,60.0005,30.4071,60.0005,119.242,16.3731,2,23.3441
5.8,35.7327,24.2678,370,60.0005,30.4141,60.0005,119.412,16.2308,2,23.4821
5.9,35.4843,24.5162,370,60.0005,30.4211,60.0005,119.576,16.0904,2,23.6201
6,35.2361,24.7644,370,60.0005,30.4281,60.0005,119.734,15.952,2,23.758
6.1,34.9879,25.0126,370,60.0005,30.4351,60.0005,119.884,15.8154,2,23.8959
6.2,34.7398,25.2607,370,60.0005,30.4421,60.0005,120.028,15.6806,2,24.0337
6.3,34.4919,25.5086,370,60.0005,30.4491,60.0005,120.166,15.5475,2,24.1715
6.4,34.244,25.7565,370,60.0005,30.456,60.0005,120.296,15.4162,2,24.3092
6.5,33.9963,26.0042,370,60.0005,30.463,60.0005,120.42,15.2864,2,24.4468
6.6,33.7486,26.2519,370,60.0005,30.4699,60.0005,120.537,15.1583,2,24.5844
6.7,33.5011,26.4994,370,60.0005,30.4769,60.0005,120.648,15.0317,2,24.7219
6.8,33.2536,26.7468,370,60.0005,30.4838,60.0005,120.751,14.9066,2,24.8594
6.9,33.0063,26.9942,370,60.0005,30.4908,60.0005,120.849,14.783,2,24.9968
7,32.7591,27.2414,370,60.0005,30.4977,60.0005,120.939,14.6608,2,25.1341
7.1,32.512,27.4885,370,60.0005,30.5046,60.0005,121.023,14.54,2,25.2714
7.2,32.265,27.7355,370,60.0005,30.5115,60.0005,121.1,14.4205,2,25.4086
7.3,32.0181,27.9824,370,60.0005,30.5184,60.0005,121.17,14.3023,2,25.5458
7.4,31.7714,28.2291,370,60.0005,30.5253,60.0005,121.234,14.1854,2,25.6828
7.5,31.5247,28.4758,370,60.0005,30.5322,60.0005,121.291,14.0698,2,25.8199
