Time,Error,Actual Speed,Torque,Target Speed
0,0.435983,88.0786,10,88.5146
0.1,0.540962,87.9737,14.5964,88.5146
0.2,0.642854,87.8718,18.1407,88.5146
0.3,0.741743,87.7729,21.5907,88.5146
0.4,0.83771,87.6769,24.9488,88.5146
0.5,0.930832,87.5838,28.2175,88.5146
0.6,1.02119,87.4934,31.3992,88.5146
0.7,1.10885,87.4058,34.4961,88.5146
0.8,1.19389,87.3207,37.5105,88.5146
0.9,1.27637,87.2383,40.4446,88.5146
1,1.35638,87.1582,43.3006,88.5146
1.1,1.43397,87.0807,46.0805,88.5146
1.2,1.50921,87.0054,48.7863,88.5146
1.3,1.58216,86.9325,51.4201,88.5146
1.4,1.65289,86.8617,53.9836,88.5146
1.5,1.72144,86.7932,56.4789,88.5146
1.6,1.78789,86.7267,58.9076,88.5146
1.7,1.85229,86.6623,61.2716,88.5146
1.8,1.91469,86.5999,63.5726,88.5146
1.9,1.97515,86.5395,65.8122,88.5146
2,2.03372,86.4809,67.9921,88.5146
2.1,2.09045,86.4242,70.1138,88.5146
2.2,2.14539,86.3692,72.179,88.5146
2.3,2.19859,86.316,74.1891,88.5146
2.4,2.25009,86.2645,76.1455,88.5146
2.5,2.29994,86.2147,78.0498,88.5146
2.6,2.34819,86.1664,79.9032,88.5146
2.7,2.39487,86.1198,81.7071,88.5146
2.8,2.44004,86.0746,83.4629,88.5146
2.9,2.48373,86.0309,85.1718,88.5146
3,2.52598,85.9886,86.835,88.5146
3.1,2.56683,85.9478,88.4538,88.5146
3.2,2.60632,85.9083,90.0294,88.5146
3.3,2.64448,85.8701,91.5628,88.5146
3.4,2.68135,85.8333,93.0553,88.5146
3.5,2.71697,85.7977,94.5078,88.5146
3.6,2.75137,85.7633,95.9215,88.5146
3.7,2.78458,85.73,97.2974,88.5146
3.8,2.81664,85.698,98.6365,88.5146
3.9,2.84757,85.6671,99.9398,88.5146
4,2.87741,85.6372,101.208,88.5146
4.1,2.90618,85.6084,102.443,88.5146
4.2,2.93392,85.5807,103.644,88.5146
4.3,2.96065,85.554,104.813,88.5146
4.4,2.98641,85.5282,105.951,88.5146
4.5,3.01121,85.5034,107.058,88.5146
4.6,3.03508,85.4795,108.136,88.5146
4.7,3.05805,85.4566,109.184,88.5146
4.8,3.08015,85.4345,110.205,88.5146
4.9,3.10139,85.4132,111.198,88.5146
5,3.1218,85.3928,112.165,88.5146
5.1,3.14141,85.3732,113.105,88.5146
5.2,3.16023,85.3544,114.021,88.5146
5.3,3.17828,85.3363,114.911,88.5146
5.4,3.1956,85.319,115.778,88.5146
5.5,3.21219,85.3024,116.621,88.5146
5.6,3.22808,85.2866,117.442,88.5146
5.7,3.24328,85.2713,118.241,88.5146
5.8,3.25782,85.2568,119.018,88.5146
5.9,3.27172,85.2429,119.774,88.5146
6,3.28498,85.2296,120.51,88.5146
6.1,3.29764,85.217,121.226,88.5146
6.2,3.3097,85.2049,121.922,88.5146
6.3,3.32118,85.1935,122.6,88.5146
6.4,3.3321,85.1825,123.26,88.5146
6.5,3.34247,85.1722,123.901,88.5146
6.6,3.35231,85.1623,124.526,88.5146
6.7,3.36164,85.153,125.133,88.5146
6.8,3.37046,85.1442,125.724,88.5146
6.9,3.3788,85.1358,126.299,88.5146
7,3.38666,85.128,126.859,88.5146
7.1,3.39406,85.1206,127.403,88.5146
7.2,3.40101,85.1136,127.932,88.5146
7.3,3.40753,85.1071,128.447,88.5146
7.4,3.41362,85.101,128.949,88.5146
7.5,3.4193,85.0953,129.436,88.5146
7.6,3.42457,85.0901,129.91,88.5146
7.7,3.42946,85.0852,130.372,88.5146
7.8,3.43397,85.0807,130.82,88.5146
7.9,3.43812,85.0765,131.257,88.5146
8,3.4419,85.0727,131.682,88.5146
8.1,3.44534,85.0693,132.095,88.5146
8.2,3.44844,85.0662,132.496,88.5146
8.3,3.45122,85.0634,132.887,88.5146
8.4,3.45367,85.061,133.267,88.5146
8.5,3.45582,85.0588,133.637,88.5146
8.6,3.45767,85.057,133.996,88.5146
8.7,3.45922,85.0554,134.346,88.5146
8.8,3.46049,85.0541,134.686,88.5146
8.9,3.46148,85.0531,135.017,88.5146
9,3.46221,85.0524,135.338,88.5146
9.1,3.46268,85.052,135.651,88.5146
9.2,3.46289,85.0517,135.955,88.5146
9.3,3.46286,85.0518,136.251,88.5146
9.4,3.46259,85.052,136.538,88.5146
9.5,3.46209,85.0525,136.818,88.5146
9.6,3.46137,85.0533,137.09,88.5146
9.7,3.46043,85.0542,137.354,88.5146
9.8,3.45928,85.0554,137.611,88.5146
9.9,3.45792,85.0567,137.861,88.5146
10,3.45636,85.0583,138.104,88.5146
10.1,3.45461,85.06,138.34,88.5146
10.2,3.45267,85.062,138.57,88.5146
10.3,3.45055,85.0641,138.793,88.5146
10.4,3.44826,85.0664,139.01,88.5146
10.5,3.44579,85.0688,139.221,88.5146
10.6,3.44316,85.0715,139.425,88.5146
10.7,3.44036,85.0743,139.625,88.5146
10.8,3.43741,85.0772,139.818,88.5146
10.9,3.43431,85.0803,140.006,88.5146
11,3.43106,85.0836,140.189,88.5146
11.1,3.42767,85.087,140.367,88.5146
11.2,3.42414,85.0905,140.539,88.5146
11.3,3.42048,85.0942,140.707,88.5146
11.4,3.41668,85.0979,140.87,88.5146
11.5,3.41276,85.1019,141.028,88.5146
11.6,3.40872,85.1059,141.182,88.5146
