Time,Error,EgoSpeed,Torque,ACCTargetSpeed,LeadSpeed,DriverSetSpeed,Gap(m),TrueTimeGap,TargetTimeGap,SafeDistance
0,0.435983,88.0786,10,88.5146,28.5002,88.5146,1000,40.4638,2,282.764
0.1,0.540962,87.9737,14.5964,88.5146,28.5506,88.5146,998.349,40.4446,2,282.091
0.2,0.642854,87.8718,18.1407,88.5146,28.601,88.5146,996.703,40.424,2,281.442
0.3,0.741743,87.7729,21.5907,88.5146,28.6514,88.5146,995.061,40.4022,2,280.814
0.4,0.83771,87.6769,24.9488,88.5146,28.7017,88.5146,993.422,40.3792,2,280.205
0.5,0.930832,87.5838,28.2175,88.5146,28.752,88.5146,991.788,40.3549,2,279.614
0.6,1.02119,87.4934,31.3992,88.5146,28.8023,88.5146,990.158,40.3295,2,279.042
0.7,1.10885,87.4058,34.4961,88.5146,28.8525,88.5146,988.531,40.303,2,278.487
0.8,1.19389,87.3207,37.5105,88.5146,28.9026,88.5146,986.909,40.2753,2,277.949
0.9,1.27637,87.2383,40.4446,88.5146,28.9526,88.5146,985.29,40.2466,2,277.428
1,1.35638,87.1582,43.3006,88.5146,29.0026,88.5146,983.674,40.2168,2,276.923
1.1,1.43397,87.0807,46.0805,88.5146,29.0524,88.5146,982.062,40.186,2,276.434
1.2,1.50921,87.0054,48.7863,88.5146,29.1022,88.5146,980.454,40.1542,2,275.96
1.3,1.58216,86.9325,51.4201,88.5146,29.1518,88.5146,978.849,40.1214,2,275.5
1.4,1.65289,86.8617,53.9836,88.5146,29.2013,88.5146,977.247,40.0877,2,275.055
1.5,1.72144,86.7932,56.4789,88.5146,29.2507,88.5146,975.649,40.0531,2,274.624
1.6,1.78789,86.7267,58.9076,88.5146,29.2999,88.5146,974.054,40.0176,2,274.207
1.7,1.85229,86.6623,61.2716,88.5146,29.349,88.5146,972.462,39.9812,2,273.802
1.8,1.91469,86.5999,63.5726,88.5146,29.3979,88.5146,970.873,39.9439,2,273.411
1.9,1.97515,86.5395,65.8122,88.5146,29.4466,88.5146,969.287,39.9059,2,273.031
2,2.03372,86.4809,67.9921,88.5146,29.4951,88.5146,967.704,39.867,2,272.664
2.1,2.09045,86.4242,70.1138,88.5146,29.5434,88.5146,966.124,39.8273,2,272.309
2.2,2.14539,86.3692,72.179,88.5146,29.5916,88.5146,964.547,39.7869,2,271.965
2.3,2.19859,86.316,74.1891,88.5146,29.6395,88.5146,962.972,39.7458,2,271.632
2.4,2.25009,86.2645,76.1455,88.5146,29.6872,88.5146,961.401,39.7039,2,271.31
2.5,2.29994,86.2147,78.0498,88.5146,29.7347,88.5146,959.832,39.6614,2,270.998
2.6,2.34819,86.1664,79.9032,88.5146,29.7819,88.5146,958.266,39.6182,2,270.696
2.7,2.39487,86.1198,81.7071,88.5146,29.8289,88.5146,956.702,39.5743,2,270.405
2.8,2.44004,86.0746,83.4629,88.5146,29.8756,88.5146,955.141,39.5298,2,270.122
2.9,2.48373,86.0309,85.1718,88.5146,29.922,88.5146,953.582,39.4846,2,269.85
3,2.52598,85.9886,86.835,88.5146,29.9682,88.5146,952.026,39.4389,2,269.586
3.1,2.56683,85.9478,88.4538,88.5146,30.014,88.5146,950.472,39.3925,2,269.331
3.2,2.60632,85.9083,90.0294,88.5146,30.0596,88.5146,948.921,39.3456,2,269.085
3.3,2.64448,85.8701,91.5628,88.5146,30.1049,88.5146,947.372,39.2982,2,268.847
3.4,2.68135,85.8333,93.0553,88.5146,30.1498,88.5146,945.825,39.2502,2,268.617
3.5,2.71697,85.7977,94.5078,88.5146,30.1945,88.5146,944.281,39.2017,2,268.395
3.6,2.75137,85.7633,95.9215,88.5146,30.2388,88.5146,942.738,39.1526,2,268.18
3.7,2.78458,85.73,97.2974,88.5146,30.2827,88.5146,941.198,39.1031,2,267.973
3.8,2.81664,85.698,98.6365,88.5146,30.3264,88.5146,939.66,39.0531,2,267.774
3.9,2.84757,85.6671,99.9398,88.5146,30.3696,88.5146,938.124,39.0027,2,267.581
4,2.87741,85.6372,101.208,88.5146,30.4125,88.5146,936.59,38.9518,2,267.395
4.1,2.90618,85.6084,102.443,88.5146,30.455,88.5146,935.058,38.9005,2,267.216
4.2,2.93392,85.5807,103.644,88.5146,30.4971,88.5146,933.528,38.8487,2,267.043
4.3,2.96065,85.554,104.813,88.5146,30.5389,88.5146,932,38.7965,2,266.876
4.4,2.98641,85.5282,105.951,88.5146,30.5802,88.5146,930.473,38.744,2,266.716
4.5,3.01121,85.5034,107.058,88.5146,30.6211,88.5146,928.949,38.691,2,266.561
4.6,3.03508,85.4795,108.136,88.5146,30.6617,88.5146,927.426,38.6377,2,266.413
4.7,3.05805,85.4566,109.184,88.5146,30.7018,88.5146,925.905,38.584,2,266.269
4.8,3.08015,85.4345,110.205,88.5146,30.7414,88.5146,924.386,38.53,2,266.132
4.9,3.10139,85.4132,111.198,88.5146,30.7806,88.5146,922.868,38.4756,2,265.999
5,3.1218,85.3928,112.165,88.5146,30.8194,88.5146,921.352,38.4209,2,265.872
5.1,3.14141,85.3732,113.105,88.5146,30.8577,88.5146,919.838,38.3659,2,265.75
5.2,3.16023,85.3544,114.021,88.5146,30.8956,88.5146,918.325,38.3105,2,265.632
5.3,3.17828,85.3363,114.911,88.5146,30.933,88.5146,916.814,38.2549,2,265.52
5.4,3.1956,85.319,115.778,88.5146,30.9699,88.5146,915.304,38.1989,2,265.411
5.5,3.21219,85.3024,116.621,88.5146,31.0063,88.5146,913.796,38.1427,2,265.308
5.6,3.22808,85.2866,117.442,88.5146,31.0423,88.5146,912.289,38.0862,2,265.209
5.7,3.24328,85.2713,118.241,88.5146,31.0777,88.5146,910.784,38.0295,2,265.113
5.8,3.25782,85.2568,119.018,88.5146,31.1126,88.5146,909.28,37.9724,2,265.023
5.9,3.27172,85.2429,119.774,88.5146,31.147,88.5146,907.777,37.9152,2,264.936
6,3.28498,85.2296,120.51,88.5146,31.1809,88.5146,906.276,37.8576,2,264.852
6.1,3.29764,85.217,121.226,88.5146,31.2143,88.5146,904.776,37.7999,2,264.773
6.2,3.3097,85.2049,121.922,88.5146,31.2472,88.5146,903.277,37.7419,2,264.698
6.3,3.32118,85.1935,122.6,88.5146,31.2795,88.5146,901.78,37.6837,2,264.625
6.4,3.3321,85.1825,123.26,88.5146,31.3112,88.5146,900.283,37.6253,2,264.557
6.5,3.34247,85.1722,123.901,88.5146,31.3424,88.5146,898.788,37.5667,2,264.492
6.6,3.35231,85.1623,124.526,88.5146,31.3731,88.5146,897.294,37.5079,2,264.43
6.7,3.36164,85.153,125.133,88.5146,31.4032,88.5146,895.801,37.4489,2,264.371
6.8,3.37046,85.1442,125.724,88.5146,31.4327,88.5146,894.309,37.3897,2,264.315
6.9,3.3788,85.1358,126.299,88.5146,31.4617,88.5146,892.818,37.3303,2,264.262
7,3.38666,85.128,126.859,88.5146,31.49,88.5146,891.328,37.2707,2,264.213
7.1,3.39406,85.1206,127.403,88.5146,31.5178,88.5146,889.839,37.211,2,264.166
7.2,3.40101,85.1136,127.932,88.5146,31.545,88.5146,888.351,37.1511,2,264.121
7.3,3.40753,85.1071,128.447,88.5146,31.5716,88.5146,886.864,37.091,2,264.08
7.4,3.41362,85.101,128.949,88.5146,31.5976,88.5146,885.377,37.0308,2,264.041
7.5,3.4193,85.0953,129.436,88.5146,31.623,88.5146,883.892,36.9704,2,264.005
7.6,3.42457,85.0901,129.91,88.5146,31.6477,88.5146,882.408,36.9099,2,263.971
7.7,3.42946,85.0852,130.372,88.5146,31.6719,88.5146,880.924,36.8493,2,263.939
7.8,3.43397,85.0807,130.82,88.5146,31.6954,88.5146,879.441,36.7885,2,263.91
7.9,3.43812,85.0765,131.257,88.5146,31.7183,88.5146,877.959,36.7276,2,263.883
8,3.4419,85.0727,131.682,88.5146,31.7406,88.5146,876.477,36.6665,2,263.858
8.1,3.44534,85.0693,132.095,88.5146,31.7622,88.5146,874.997,36.6053,2,263.836
8.2,3.44844,85.0662,132.496,88.5146,31.7832,88.5146,873.517,36.544,2,263.815
8.3,3.45122,85.0634,132.887,88.5146,31.8036,88.5146,872.037,36.4826,2,263.797
8.4,3.45367,85.061,133.267,88.5146,31.8233,88.5146,870.558,36.4211,2,263.78
8.5,3.45582,85.0588,133.637,88.5146,31.8424,88.5146,869.08,36.3594,2,263.766
8.6,3.45767,85.057,133.996,88.5146,31.8608,88.5146,867.602,36.2977,2,263.753
8.7,3.45922,85.0554,134.346,88.5146,31.8785,88.5146,866.125,36.2358,2,263.742
8.8,3.46049,85.0541,134.686,88.5146,31.8956,88.5146,864.649,36.1738,2,263.733
8.9,3.46148,85.0531,135.017,88.5146,31.912,88.5146,863.172,36.1118,2,263.725
9,3.46221,85.0524,135.338,88.5146,31.9278,88.5146,861.697,36.0496,2,263.719
9.1,3.46268,85.052,135.651,88.5146,31.9428,88.5146,860.222,35.9874,2,263.715
9.2,3.46289,85.0517,135.955,88.5146,31.9572,88.5146,858.747,35.9251,2,263.712
9.3,3.46286,85.0518,136.251,88.5146,31.971,88.5146,857.272,35.8626,2,263.711
9.4,3.46259,85.052,136.538,88.5146,31.984,88.5146,855.798,35.8001,2,263.711
9.5,3.46209,85.0525,136.818,88.5146,31.9964,88.5146,854.324,35.7375,2,263.712
9.6,3.46137,85.0533,137.09,88.5146,32.008,88.5146,852.851,35.6749,2,263.715
9.7,3.46043,85.0542,137.354,88.5146,32.019,88.5146,851.378,35.6121,2,263.72
9.8,3.45928,85.0554,137.611,88.5146,32.0293,88.5146,849.905,35.5493,2,263.725
9.9,3.45792,85.0567,137.861,88.5146,32.0389,88.5146,848.432,35.4864,2,263.732
10,3.45636,85.0583,138.104,88.5146,32.0478,88.5146,846.959,35.4234,2,263.74
10.1,3.45461,85.06,138.34,88.5146,32.0561,88.5146,845.487,35.3604,2,263.75
